depth id strategy heuristic/moves solution_length visited processed max_depth solution_time(ms)
4 4 dfs drlu 16 795 770 20 8.973
4 4 dfs drul 20 265618 250911 20 451.214
4 4 dfs ludr 18 248114 234956 20 432.218
4 4 dfs lurd 20 284399 269126 20 482.725
4 4 dfs rdlu 16 266434 251662 20 455.594
4 4 dfs rdul 16 312 294 20 8.152
4 4 dfs uldr 20 65481 62463 20 127.689
4 4 dfs ulrd 20 83 65 20 6.901
4 5 astr hamm 4 11 5 4 6.388
4 5 astr manh 4 11 5 4 6.519
4 5 bfs drlu 4 117 54 4 5.318
4 5 bfs drul 4 117 54 4 5.087
4 5 bfs ludr 4 73 33 4 5.008
4 5 bfs lurd 4 58 27 4 7.865
4 5 bfs rdlu 4 102 48 4 5.097
4 5 bfs rdul 4 102 48 4 5.361
4 5 bfs uldr 4 73 33 4 5.101
4 5 bfs ulrd 4 58 27 4 5.165
4 5 dfs drlu 12 27 13 12 7.404
4 5 dfs drul 12 65314 62308 20 128.287
4 5 dfs ludr 20 249654 235871 20 430.824
4 5 dfs lurd 18 290 275 20 7.908
4 5 dfs rdlu 20 197553 187310 20 368.029
4 5 dfs rdul 20 178325 168981 20 316.785
4 5 dfs uldr 20 248160 234414 20 470.308
4 5 dfs ulrd 18 290 275 20 8.301
4 6 astr hamm 4 12 5 4 6.172
4 6 astr manh 4 12 5 4 6.452
4 6 bfs drlu 4 123 58 4 5.433
4 6 bfs drul 4 123 58 4 5.178
4 6 bfs ludr 4 78 39 4 5.107
4 6 bfs lurd 4 100 51 4 7.529
4 6 bfs rdlu 4 145 70 4 5.548
4 6 bfs rdul 4 145 70 4 8.017
4 6 bfs uldr 4 78 39 4 5.111
4 6 bfs ulrd 4 100 51 4 5.079
4 6 dfs drlu 18 248042 234890 20 440.853
4 6 dfs drul 18 395610 373052 20 662.998
4 6 dfs ludr 16 1118 1087 20 10.01
4 6 dfs lurd 18 222219 210329 20 380.284
4 6 dfs rdlu 20 65461 62438 20 159.683
4 6 dfs rdul 20 73 51 20 7.032
4 6 dfs uldr 20 248131 234385 20 470.309
4 6 dfs ulrd 16 708 687 20 9.3
4 7 astr hamm 4 11 5 4 6.272
4 7 astr manh 4 11 5 4 6.933
4 7 bfs drlu 4 95 44 4 5.04
4 7 bfs drul 4 83 39 4 5.031
4 7 bfs ludr 4 89 40 4 5.044
4 7 bfs lurd 4 92 42 4 4.995
4 7 bfs rdlu 4 98 46 4 5.01
4 7 bfs rdul 4 86 41 4 5.117
4 7 bfs uldr 4 77 35 4 5.042
4 7 bfs ulrd 4 80 37 4 5.111
4 7 dfs drlu 18 265836 251091 20 452.93
4 7 dfs drul 18 198 181 20 7.484
4 7 dfs ludr 18 270 252 20 7.948
4 7 dfs lurd 20 54386 51996 20 113.864
4 7 dfs rdlu 18 265980 251245 20 461.522
4 7 dfs rdul 18 187 169 20 7.611
4 7 dfs uldr 20 373833 352702 20 645.713
4 7 dfs ulrd 20 247915 234776 20 486.495
4 8 astr hamm 4 12 5 4 6.482
4 8 astr manh 4 12 5 4 6.587
4 8 bfs drlu 4 142 68 4 5.31
4 8 bfs drul 4 142 68 4 5.202
4 8 bfs ludr 4 97 49 4 5.013
4 8 bfs lurd 4 81 41 4 5.096
4 8 bfs rdlu 4 126 60 4 5.14
4 8 bfs rdul 4 126 60 4 5.294
4 8 bfs uldr 4 97 49 4 5.529
4 8 bfs ulrd 4 81 41 4 5.134
4 8 dfs drlu 20 75 54 20 6.87
4 8 dfs drul 20 65463 62441 20 125.308
4 8 dfs ludr 16 768 747 20 9.167
4 8 dfs lurd 20 234454 221699 20 418.928
4 8 dfs rdlu 20 395237 372720 20 761.934
4 8 dfs rdul 20 247509 234380 20 441.919
4 8 dfs uldr 20 222219 210328 20 398.79
4 8 dfs ulrd 16 1058 1027 20 9.991
4 9 astr hamm 4 11 5 4 6.267
4 9 astr manh 4 11 5 4 6.996
4 9 bfs drlu 4 99 46 4 5.089
4 9 bfs drul 4 99 46 4 5.081
4 9 bfs ludr 4 55 25 4 4.997
4 9 bfs lurd 4 76 35 4 4.99
4 9 bfs rdlu 4 120 56 4 5.288
4 9 bfs rdul 4 120 56 4 5.353
4 9 bfs uldr 4 55 25 4 5.321
4 9 bfs ulrd 4 76 35 4 5.001
4 9 dfs drlu 18 178317 168975 20 313.837
4 9 dfs drul 18 197545 187304 20 346.668
4 9 dfs ludr 18 301 287 20 8.07
4 9 dfs lurd 20 234483 221729 20 409.317
4 9 dfs rdlu 4 11 5 4 6.745
4 9 dfs rdul 4 11 5 4 7.063
4 9 dfs uldr 18 301 287 20 8.586
4 9 dfs ulrd 20 230001 217546 20 399.171
4 10 astr hamm 4 11 5 4 6.583
4 10 astr manh 4 11 5 4 6.89
4 10 bfs drlu 4 83 39 4 5.076
4 10 bfs drul 4 95 44 4 5.084
4 10 bfs ludr 4 77 35 4 5.074
4 10 bfs lurd 4 80 37 4 5.36
4 10 bfs rdlu 4 86 41 4 5.226
4 10 bfs rdul 4 98 46 4 5.212
4 10 bfs uldr 4 89 40 4 5.114
4 10 bfs ulrd 4 92 42 4 5.196
4 10 dfs drlu 18 198 181 20 7.15
4 10 dfs drul 18 265991 251255 20 472.544
4 10 dfs ludr 20 247917 234779 20 427.063
4 10 dfs lurd 20 360730 340585 20 607.529
4 10 dfs rdlu 18 187 169 20 7.17
4 10 dfs rdul 18 265829 251085 20 500.128
4 10 dfs uldr 18 65569 62545 20 127.975
4 10 dfs ulrd 18 259 240 20 8.061
4 11 astr hamm 4 11 6 4 6.34
4 11 astr manh 4 10 5 4 6.444
4 11 bfs drlu 4 115 54 4 5.262
4 11 bfs drul 4 115 54 4 5.133
4 11 bfs ludr 4 60 27 4 4.949
4 11 bfs lurd 4 60 27 4 5.115
4 11 bfs rdlu 4 115 54 4 5.164
4 11 bfs rdul 4 115 54 4 5.186
4 11 bfs uldr 4 60 27 4 4.985
4 11 bfs ulrd 4 60 27 4 5.058
4 11 dfs drlu 10 21 11 10 6.931
4 11 dfs drul 20 19698 18956 20 42.748
4 11 dfs ludr 20 247930 234790 20 425.502
4 11 dfs lurd 20 395584 373034 20 667.449
4 11 dfs rdlu 10 21 11 10 6.74
4 11 dfs rdul 20 236 220 20 7.405
4 11 dfs uldr 20 42263 40477 20 88.074
4 11 dfs ulrd 20 296 278 20 8.309
4 12 astr hamm 4 11 6 4 6.211
4 12 astr manh 4 11 6 4 6.787
4 12 bfs drlu 4 83 37 4 5.12
4 12 bfs drul 4 66 29 4 5.227
4 12 bfs ludr 4 67 30 4 4.984
4 12 bfs lurd 4 67 30 4 5.126
4 12 bfs rdlu 4 83 37 4 5.107
4 12 bfs rdul 4 66 29 4 5.776
4 12 bfs uldr 4 50 22 4 4.933
4 12 bfs ulrd 4 50 22 4 5.05
4 12 dfs drlu 18 9057 8784 20 24.443
4 12 dfs drul 18 81893 78117 20 159.542
4 12 dfs ludr 18 206391 195463 20 369.026
4 12 dfs lurd 20 236837 224275 20 411.18
4 12 dfs rdlu 20 11694 11360 20 30.41
4 12 dfs rdul 18 915 893 20 9.646
4 12 dfs uldr 20 275849 260619 20 486.184
4 12 dfs ulrd 20 206408 195478 20 406.483
4 13 astr hamm 4 11 5 4 6.314
4 13 astr manh 4 11 5 4 6.54
4 13 bfs drlu 4 120 56 4 5.292
4 13 bfs drul 4 120 56 4 5.063
4 13 bfs ludr 4 76 35 4 5.021
4 13 bfs lurd 4 55 25 4 5.031
4 13 bfs rdlu 4 99 46 4 5.1
4 13 bfs rdul 4 99 46 4 5.191
4 13 bfs uldr 4 76 35 4 5.128
4 13 bfs ulrd 4 55 25 4 5.27
4 13 dfs drlu 4 11 5 4 6.904
4 13 dfs drul 4 11 5 4 6.742
4 13 dfs ludr 20 230001 217546 20 401.845
4 13 dfs lurd 18 301 287 20 7.963
4 13 dfs rdlu 18 197545 187304 20 379.28
4 13 dfs rdul 18 178317 168975 20 316.76
4 13 dfs uldr 20 234483 221729 20 419.712
4 13 dfs ulrd 18 301 287 20 11.176
4 14 astr hamm 4 12 5 4 6.498
4 14 astr manh 4 12 5 4 6.561
4 14 bfs drlu 4 126 60 4 5.22
4 14 bfs drul 4 126 60 4 5.189
4 14 bfs ludr 4 81 41 4 4.99
4 14 bfs lurd 4 97 49 4 5.215
4 14 bfs rdlu 4 142 68 4 5.251
4 14 bfs rdul 4 142 68 4 5.597
4 14 bfs uldr 4 81 41 4 4.981
4 14 bfs ulrd 4 97 49 4 5.093
4 14 dfs drlu 20 247509 234380 20 429.233
4 14 dfs drul 20 395237 372720 20 704.563
4 14 dfs ludr 16 1058 1027 20 9.814
4 14 dfs lurd 20 222219 210328 20 391.034
4 14 dfs rdlu 20 65463 62441 20 139.489
4 14 dfs rdul 20 75 54 20 6.798
4 14 dfs uldr 20 234454 221699 20 410.733
4 14 dfs ulrd 16 768 747 20 9.152
4 15 astr hamm 4 11 5 4 6.289
4 15 astr manh 4 11 5 4 6.447
4 15 bfs drlu 4 98 46 4 6.03
4 15 bfs drul 4 86 41 4 5.082
4 15 bfs ludr 4 92 42 4 5.264
4 15 bfs lurd 4 89 40 4 4.994
4 15 bfs rdlu 4 95 44 4 5.085
4 15 bfs rdul 4 83 39 4 5.221
4 15 bfs uldr 4 80 37 4 5.076
4 15 bfs ulrd 4 77 35 4 5.025
4 15 dfs drlu 18 265829 251085 20 498.5
4 15 dfs drul 18 187 169 20 7.125
4 15 dfs ludr 18 259 240 20 7.946
4 15 dfs lurd 18 65569 62545 20 127.346
4 15 dfs rdlu 18 265991 251255 20 452.551
4 15 dfs rdul 18 198 181 20 7.208
4 15 dfs uldr 20 360730 340585 20 632.954
4 15 dfs ulrd 20 247917 234779 20 442.845
4 16 astr hamm 4 12 5 4 6.593
4 16 astr manh 4 12 5 4 6.654
4 16 bfs drlu 4 145 70 4 5.244
4 16 bfs drul 4 145 70 4 5.436
4 16 bfs ludr 4 100 51 4 5.017
4 16 bfs lurd 4 78 39 4 5.194
4 16 bfs rdlu 4 123 58 4 5.162
4 16 bfs rdul 4 123 58 4 5.324
4 16 bfs uldr 4 100 51 4 5.066
4 16 bfs ulrd 4 78 39 4 6.148
4 16 dfs drlu 20 73 51 20 7.024
4 16 dfs drul 20 65461 62438 20 125.228
4 16 dfs ludr 16 708 687 20 9.127
4 16 dfs lurd 20 248131 234385 20 432.059
4 16 dfs rdlu 18 395610 373052 20 815.623
4 16 dfs rdul 18 248042 234890 20 420.478
4 16 dfs uldr 18 222219 210329 20 394.199
4 16 dfs ulrd 16 1118 1087 20 9.725
4 17 astr hamm 4 11 5 4 6.972
4 17 astr manh 4 11 5 4 6.581
4 17 bfs drlu 4 102 48 4 5.241
4 17 bfs drul 4 102 48 4 5.136
4 17 bfs ludr 4 58 27 4 5.076
4 17 bfs lurd 4 73 33 4 5.123
4 17 bfs rdlu 4 117 54 4 7.405
4 17 bfs rdul 4 117 54 4 5.239
4 17 bfs uldr 4 58 27 4 5.029
4 17 bfs ulrd 4 73 33 4 5.628
4 17 dfs drlu 20 178325 168981 20 318.652
4 17 dfs drul 20 197553 187310 20 340.108
4 17 dfs ludr 18 290 275 20 8.225
4 17 dfs lurd 20 248160 234414 20 432.43
